artist,title
Eslabon Armado X Peso Pluma,Ella Baila Sola
Fifty Fifty,Cupid
Yng Lvcas x Peso Pluma,La Bebe
Grupo Frontera X Bad Bunny,Un x100to
Miley Cyrus,Flowers
Rema & Selena Gomez,Calm Down
Lil Durk Featuring J. Cole,All My Life
The Weeknd & Ariana Grande,Die For You
YOASOBI,Idol
Morgan Wallen,Last Night
SZA,Kill Bill
David Kushner,Daylight
Shakira,Acrostico
Harry Styles,As It Was
Loreen,Tattoo
Karol G x Shakira,TQG
Taylor Swift,Anti-Hero
Feid x Young Miko,Classy 101
"Metro Boomin, The Weeknd & 21 Savage",Creepin'
Libianca,People
David Guetta & Bebe Rexha,I'm Good (Blue)
Peso Pluma,Por Las Noches
PinkPantheress & Ice Spice,"Boy's A Liar, Pt. 2"
Stephen Sanchez,Until I Found You
Peso Pluma X Natanael Cano,PRC
Junior H x Peso Pluma,El Azul
Kaarija,Cha Cha Cha
JVKE,Golden Hour
OneRepublic,I Ain't Worried
Luke Combs,Fast Car
Rosalia & Rauw Alejandro,Beso
Ed Sheeran,Eyes Closed
Yandel & Feid,Yandel 150
The Weeknd & Ariana Grande,Save Your Tears
Sam Smith & Kim Petras,Unholy
LE SSERAFIM Featuring Nile Rodgers,Unforgiven
"Tyler, The Creator Featuring Kali Uchis",See You Again
"Gabito Ballesteros, Peso Pluma & Natanael Cano",AMG
Jimin,Like Crazy
Tom Odell,Another Love
Yahritza y Su Esencia x Grupo Frontera,Fragil
Drake,Search & Rescue
Jisoo,Flower
Miguel,Sure Thing
Post Malone,Chemical
Calvin Harris & Ellie Goulding,Miracle
Toosii,Favorite Song
The Weeknd,Blinding Lights
Taylor Swift,Cruel Summer
IVE,I Am
RAYE Featuring 070 Shake,Escapism
Ed Sheeran,Perfect
Zach Bryan,Something In The Orange
Coi Leray,Players
Bizarrap & Shakira,"Bzrp Music Sessions, Vol. 53"
Radiohead,Creep
"David Guetta, Anne-Marie & Coi Leray",Baby Don't Hurt Me
Alessandra,Queen Of Kings
SZA,Snooze
Becky G & Peso Pluma,Chanel
Kali,Area Codes
BTS,The Planet
Glass Animals,Heat Waves
Manuel Turizo,La Bachata
The Weeknd Featuring Daft Punk,Starboy
Dua Lipa,Levitating
Chris Brown,Under The Influence
Ed Sheeran,Shivers
NewJeans,OMG
aespa,Spicy
Beyonce,Cuff It
The Kid LAROI & Justin Bieber,Stay
Eminem,Mockingbird
Kali Uchis,Moonlight
Morgan Wallen,Thinkin' Bout Me
Elton John & Dua Lipa,Cold Heart (PNAU Remix)
Chino Pacas,El Gordo Trae El Mando
Lil Mabu,Mathematical Disrespect
Carin Leon X Grupo Frontera,Que Vuelvas
Taylor Swift,Blank Space
Fuerza Regida X Grupo Frontera,Bebe Dame
Morgan Wallen,You Proof
Lewis Capaldi,Someone You Loved
Ozuna Featuring Feid,Hey Mor
Bad Bunny & Chencho Corleone,Me Porto Bonito
Bailey Zimmerman,Rock And A Hard Place
Miley Cyrus,Angels Like You
SEVENTEEN,Super
Coldplay,Viva La Vida
Ice Spice & Nicki Minaj,Princess Diana
Imagine Dragons,Believer
Coldplay,Yellow
The Neighbourhood,Sweater Weather
Kendrick Lamar Featuring Jay Rock,Money Trees
Ed Sheeran Featuring Luke Combs,Life Goes On
Bad Bunny & Bomba Estereo,Ojitos Lindos
Fuerza Regida X Natanael Cano,Ch y La Pizza
Ed Sheeran,Shape Of You
Eladio Carrion & Bad Bunny,Coco Chanel
Bad Bunny,Titi Me Pregunto
d4vd,Here With Me
Taylor Swift,Karma
Taylor Swift,Lavender Haze
Arctic Monkeys,I Wanna Be Yours
Ed Sheeran,Bad Habits
Imagine Dragons,Bones
Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse)
Bizarrap & Quevedo,"Bzrp Music Sessions, Vol. 52"
"Metro Boomin, Future & Chris Brown",Superhero (Heroes & Villains)
a-ha,Take On Me
Sia,Unstoppable
Taylor Swift,Cardigan
Lana Del Rey vs. Cedric Gervais,Summertime Sadness
The Weeknd Featuring Future,Double Fantasy
Taylor Swift,Style
Lewis Capaldi,Wish You The Best
Ke personajes X Big One X FMK,Un Finde   Crossover #2
Junior H X Oscar Maydon,Fin de Semana
Florence + The Machine,Dog Days Are Over
"Metro Boomin, Travis Scott & Young Thug",Trance
Rosa Linn,Snap
Marshmello & Manuel Turizo,El Merengue
J. Cole,No Role Modelz
Peso Pluma & Blessd,Las Morras
Adele,Set Fire To The Rain
Taylor Swift,Shake It Off
Taylor Swift,Enchanted
Lil Uzi Vert,Just Wanna Rock
Drake & 21 Savage,Rich Flex
Steve Lacy,Bad Habit
BM,M.A (Mejores Amigos)
Karol G,Mientras Me Curo del Cora
Billie Eilish & Khalid,Lovely
Adele,Easy On Me
NLE Choppa,Slut Me Out
Feid & Sean Paul,Nina Bonita
Tiesto Featuring Tate McRae,10:35
Hotel Ugly,Shut Up My Moms Calling
Meghan Trainor,Made You Look
Ana Castela,Nosso Quadro
Tears For Fears,Everybody Wants To Rule The World
Feid,Feliz Cumpleanos Ferxxo
Hozier,Take Me To Church
Feid,Chorrito Pa Las Animas
Vance Joy,Riptide
Eminem,Without Me
Lizzy McAlpine,Ceilings
Nicky Youre & dazy,Sunroof
Morgan Wallen,Wasted On You
Arcangel & Bad Bunny,La Jumpa
NewJeans,Ditto
Harry Styles,Watermelon Sugar
Metro Boomin Featuring Don Toliver & Future,Too Many Nights
OneRepublic,Counting Stars
Post Malone,Circles
Drake Featuring 21 Savage,Jimmy Cooks
(G)I-DLE,Queencard
"Anuel AA, Mambo Kingz & DJ Luian",Mejor Que Yo
Lady Gaga & Bradley Cooper,Shallow
Karol G,Provenza
Taylor Swift,Don't Blame Me
The Chainsmokers & Coldplay,Something Just Like This
Imagine Dragons,Thunder
Fuerza Regida & Peso Pluma,Igualito A Mi Apa
Ruth B.,Dandelions
Taylor Swift,Lover
Coolio Featuring L.V.,Gangsta's Paradise
Eagles,Hotel California
Labrinth,Never Felt So Alone
The Police,Every Breath You Take
Future Featuring Drake & Tems,Wait For U
Karol G x Romeo Santos,X Si Volvemos
Macklemore & Ryan Lewis Featuring Ray Dalton,Can't Hold Us
Guns N' Roses,Sweet Child O' Mine
Fleetwood Mac,Dreams
Bruno Mars,When I Was Your Man
Ayra Starr,Rush
Journey,Don't Stop Believin'
Grupo Frontera,No Se Va
Cartel de Santa Featuring La Kelly,Shorty Party
Sabrina Carpenter,Nonsense
Morgan Wallen,One Thing At A Time
50 Cent,In Da Club
Feid,Normal
TINI,Cupido
Justin Bieber,Ghost
Nirvana,Smells Like Teen Spirit
Eden Munoz X Junior H,Abcdario
Eminem,Lose Yourself
Coldplay,A Sky Full Of Stars
Billie Eilish,Happier Than Ever
Spitz,Utsukushii Hire
Tones And I,Dance Monkey
Rosalia,Despecha
Imagine Dragons X JID,Enemy
Morgan Wallen,Thought You Should Know
Avicii,Wake Me Up!
IVE,Kitsch
Keane,Somewhere Only We Know
Bad Bunny,Moscow Mule
